phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
291.4,Specific nonpsychotic mental disorders due to brain damage,290-292.99,Both,1,1,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,85,402339
291.8,Alteration of consciousness,290-292.99,Both,1,1,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,440,402339
292,Neurological disorders,290-292.99,Both,1,0,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,4657,402339
292.1,Aphasia/speech disturbance,290-292.99,Both,1,0,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,1514,402339
292.12,Symbolic dysfunction,290-292.99,Both,1,1,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,22,402339
292.2,Mild cognitive impairment,290-292.99,Both,1,1,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,191,402339
292.3,Memory loss,290-292.99,Both,1,1,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,701,402339
292.4,Altered mental status,290-292.99,Both,1,1,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,2189,402339
292.6,Hallucinations,290-292.99,Both,1,1,5,mental disorders,magenta, dementia and related cognitive disorders/symptoms,308,402339
293,Symptoms involving head and neck,293-293.99,Both,1,1,5,mental disorders,magenta,Symptoms involving head and neck,2087,405973
293.1,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]",293-293.99,Both,0,1,5,mental disorders,magenta,Symptoms involving head and neck,907,405973
295,Schizophrenia and other psychotic disorders,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,852,365457
295.1,Schizophrenia,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,573,365457
295.2,Paranoid disorders,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,179,365457
295.3,Psychosis,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,171,365457
296,Mood disorders,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,12577,365457
296.1,Bipolar,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,1064,365457
296.2,Depression,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,11918,365457
296.22,Major depressive disorder,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,362,365457
297,Suicidal ideation or attempt,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,343,365457
297.2,Suicide or self-inflicted injury,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,319,365457
300,Anxiety disorders,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,6945,365457
300.1,Anxiety disorder,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,6378,365457
300.11,Generalized anxiety disorder,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,150,365457
300.12,"Agorophobia, social phobia, and panic disorder",295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,709,365457
300.13,Phobia,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,503,365457
300.2,Generalized anxiety & phobic disorders,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,1,365457
300.3,Obsessive-compulsive disorders,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,141,365457
300.4,Dysthymic disorder,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,53,365457
300.8,Acute reaction to stress,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,125,365457
300.9,Posttraumatic stress disorder,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,113,365457
301,Personality disorders,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,337,365457
301.1,Schizoid personality disorder,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,31,365457
301.2,Antisocial/borderline personality disorder,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,119,365457
302,Sexual and gender identity disorders,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,322,365457
302.1,Decreased libido,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,14,365457
303,Psychogenic and somatoform disorders,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,489,365457
303.1,Dissociative disorder,295-306.99,Both,0,1,5,mental disorders,magenta, psychological disorders,44,365457
303.3,Psychogenic disorder,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,354,365457
303.31,Gastrointestinal malfunction arising from mental factors,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,3,365457
303.4,Somatoform disorder,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,124,365457
304,Adjustment reaction,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,295,365457
305.2,Eating disorder,295-306.99,Both,0,0,5,mental disorders,magenta, psychological disorders,90,365457
305.21,Anorexia nervosa,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,48,365457
306,Other mental disorder,295-306.99,Both,1,0,5,mental disorders,magenta, psychological disorders,28791,365457
306.9,Tension headache,295-306.99,Both,1,1,5,mental disorders,magenta, psychological disorders,315,365457
312,Conduct disorders,312-315.99,Both,1,0,5,mental disorders,magenta,Developmental/behavioral disorders,19,408376
312.3,Impulse control disorder,312-315.99,Both,1,1,5,mental disorders,magenta,Developmental/behavioral disorders,10,408376
313,Pervasive developmental disorders,312-315.99,Both,1,0,5,mental disorders,magenta,Developmental/behavioral disorders,77,408376
313.2,Tics and stuttering,312-315.99,Both,1,1,5,mental disorders,magenta,Developmental/behavioral disorders,20,408376
313.3,Autism,312-315.99,Both,1,1,5,mental disorders,magenta,Developmental/behavioral disorders,54,408376
315,Develomental delays and disorders,312-315.99,Both,1,0,5,mental disorders,magenta,Developmental/behavioral disorders,353,408376
315.1,Learning disorder,312-315.99,Both,0,1,5,mental disorders,magenta,Developmental/behavioral disorders,164,408376
315.2,Speech and language disorder,312-315.99,Both,1,1,5,mental disorders,magenta,Developmental/behavioral disorders,89,408376
315.3,Mental retardation,312-315.99,Both,1,1,5,mental disorders,magenta,Developmental/behavioral disorders,49,408376
316,Substance addiction and disorders,316-319.99,Both,1,0,5,mental disorders,magenta, Substance-related disorders,395,379313
316.1,Polyneuropathy due to drugs,316-319.99,Both,1,1,5,mental disorders,magenta, Substance-related disorders,60,379313
317,Alcohol-related disorders,316-319.99,Both,1,0,5,mental disorders,magenta, Substance-related disorders,12953,379313
317.1,Alcoholism,316-319.99,Both,1,0,5,mental disorders,magenta, Substance-related disorders,8998,379313
317.11,Alcoholic liver damage,316-319.99,Both,1,1,5,mental disorders,magenta, Substance-related disorders,842,379313
318,Tobacco use disorder,316-319.99,Both,1,1,5,mental disorders,magenta, Substance-related disorders,19790,379313
320,Meningitis,320-326.9,Both,1,1,6,neurological,darkblue,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,448,407869
323,Encephalitis,320-326.9,Both,1,0,6,neurological,darkblue,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,353,407869
323.2,Acute (transverse) myelitis,320-326.9,Both,1,1,6,neurological,darkblue,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,74,407869
323.8,"Encephalitis, non-infectious",320-326.9,Both,1,1,6,neurological,darkblue,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,10,407869
324,Other CNS infection and poliomyelitis,320-326.9,Both,1,0,6,neurological,darkblue,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,295,407869
324.1,Jakob-Creutzfeldt disease,320-326.9,Both,1,1,6,neurological,darkblue,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,18,407869
325,Phlebitis and thrombophlebitis of intracranial venous sinuses,320-326.9,Both,1,1,6,neurological,darkblue,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,46,407869
327,Sleep disorders,327-328.99,Both,1,0,6,neurological,darkblue,Sleep disorders,1172,403720
327.1,Hypersomnia,327-328.99,Both,1,1,6,neurological,darkblue,Sleep disorders,0,403720
327.3,Sleep apnea,327-328.99,Both,0,0,6,neurological,darkblue,Sleep disorders,4472,403720
327.4,Insomnia,327-328.99,Both,1,0,6,neurological,darkblue,Sleep disorders,166,403720
327.41,Organic or persistent insomnia,327-328.99,Both,1,1,6,neurological,darkblue,Sleep disorders,139,403720
327.5,Parasomnia,327-328.99,Both,1,1,6,neurological,darkblue,Sleep disorders,18,403720
327.6,Circadian rhythm sleep disorder,327-328.99,Both,1,1,6,neurological,darkblue,Sleep disorders,23,403720
331,Other cerebral degenerations,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,1147,395108
331.1,Hydrocephalus,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,503,395108
331.9,"Cerebral degeneration, unspecified","330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,430,395108
332,Parkinson's disease,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,1131,395108
333,Extrapyramidal disease and abnormal movement disorders,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,902,395108
333.1,Essential tremor,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,216,395108
333.2,Myoclonus,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,96,395108
333.3,Tics and choreas,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,31,395108
333.4,Torsion dystonia,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,253,395108
333.8,Other degenerative diseases of the basal ganglia,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,32,395108
334,Degenerative disease of the spinal cord,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,1819,395108
334.1,Spinocerebellar disease,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,117,395108
334.2,Anterior horn cell disease,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,245,395108
335,Multiple sclerosis,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,1357,395108
337,Disorders of the autonomic nervous system,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,269,395108
337.1,Peripheral autonomic neuropathy,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,72,395108
338,Pain,338-338.9,Both,1,0,6,neurological,darkblue,PAIN,772,408187
338.1,Acute pain,338-338.9,Both,1,1,6,neurological,darkblue,PAIN,395,408187
338.2,Chronic pain,338-338.9,Both,1,1,6,neurological,darkblue,PAIN,383,408187
339,Other headache syndromes,339-340.99,Both,1,1,6,neurological,darkblue,Headache; including migraine,7891,398778
340,Migraine,339-340.99,Both,1,0,6,neurological,darkblue,Headache; including migraine,2870,398778
340.1,Migrain with aura,339-340.99,Both,1,1,6,neurological,darkblue,Headache; including migraine,212,398778
341,Other demyelinating diseases of central nervous system,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,255,395108
342,Hemiplegia,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,1500,395108
343,Infantile cerebral palsy,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,145,395108
344,Other paralytic syndromes,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,661,395108
345,"Epilepsy, recurrent seizures, convulsions","330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,5101,395108
345.1,Epilepsy,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,901,395108
345.11,Generalized convulsive epilepsy,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,448,395108
345.12,Partial epilepsy,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,280,395108
345.3,Convulsions,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,2242,395108
346,Abnormal findings on study of brain and/or nervous system,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,26,395108
346.1,Nonspecific abnormal findings on radiological and other examination of skull and head,"330-337.99, 341-349.99",Both,0,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,144,395108
346.2,Nonspecific abnormal results of function study of brain and central nervous system,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,19,395108
346.3,Nonspecific abnormal findings in cerebrospinal fluid,"330-337.99, 341-349.99",Both,0,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,25,395108
347,Cataplexy and narcolepsy,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,45,395108
348,Other conditions of brain,"330-337.99, 341-349.99",Both,1,0,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,791,395108
348.2,Cerebral edema and compression of brain,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,268,395108
348.4,Cerebral cysts,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,136,395108
348.7,Coma,"330-337.99, 341-349.99",Both,0,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,363,395108
348.8,"Encephalopathy, not elsewhere classified","330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,252,395108
348.9,"Other conditions of brain, NOS","330-337.99, 341-349.99",Both,0,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,390,395108
349,Other and unspecified disorders of the nervous system,"330-337.99, 341-349.99",Both,1,1,6,neurological,darkblue, hereditary/degenerative nervous conditions; other diseases of CNS,342,395108
350,Abnormal movement,350-350.99,Both,1,0,6,neurological,darkblue," Other symptoms, reflex",2694,406215
350.1,Abnormal involuntary movements,350-350.99,Both,1,1,6,neurological,darkblue," Other symptoms, reflex",888,406215
350.2,Abnormality of gait,350-350.99,Both,1,1,6,neurological,darkblue," Other symptoms, reflex",1601,406215
350.3,Lack of coordination,350-350.99,Both,1,1,6,neurological,darkblue," Other symptoms, reflex",364,406215
350.5,Abnormal reflex,350-350.99,Both,1,1,6,neurological,darkblue," Other symptoms, reflex",17,406215
350.6,Disturbances of sensation of smell and taste,350-350.99,Both,0,1,6,neurological,darkblue," Other symptoms, reflex",54,406215
351,Other peripheral nerve disorders,351-355.99,Both,1,1,6,neurological,darkblue, mononeuritis and nerve lesions,12592,394064
352,Disorders of other cranial nerves,351-355.99,Both,1,0,6,neurological,darkblue, mononeuritis and nerve lesions,1394,394064
352.1,Trigeminal nerve disorders [CN5],351-355.99,Both,1,1,6,neurological,darkblue, mononeuritis and nerve lesions,465,394064
352.2,Facial nerve disorders [CN7],351-355.99,Both,1,1,6,neurological,darkblue, mononeuritis and nerve lesions,881,394064
353,Nerve root and plexus disorders,351-355.99,Both,1,0,6,neurological,darkblue, mononeuritis and nerve lesions,1139,394064
353.1,Nerve plexus lesions,351-355.99,Both,1,1,6,neurological,darkblue, mononeuritis and nerve lesions,114,394064
353.2,Nerve root lesions,351-355.99,Both,1,1,6,neurological,darkblue, mononeuritis and nerve lesions,57,394064
355,Complex regional/central pain syndrome,351-355.99,Both,1,1,6,neurological,darkblue, mononeuritis and nerve lesions,32,394064
356,Hereditary and idiopathic peripheral neuropathy,356-359.99,Both,1,1,6,neurological,darkblue, Disorders of the peripheral nervous system,152,406847
357,Inflammatory and toxic neuropathy,356-359.99,Both,1,1,6,neurological,darkblue, Disorders of the peripheral nervous system,1368,406847
358,Myoneural disorders,356-359.99,Both,1,0,6,neurological,darkblue, Disorders of the peripheral nervous system,213,406847
358.1,Myasthenia gravis,356-359.99,Both,1,1,6,neurological,darkblue, Disorders of the peripheral nervous system,192,406847
359,Muscular dystrophies and other myopathies,356-359.99,Both,1,0,6,neurological,darkblue, Disorders of the peripheral nervous system,474,406847
359.1,Muscular dystrophies,356-359.99,Both,1,1,6,neurological,darkblue, Disorders of the peripheral nervous system,127,406847
359.2,Myopathy,356-359.99,Both,1,1,6,neurological,darkblue, Disorders of the peripheral nervous system,361,406847
360,Disorders of the globe,360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,337,397759
360.2,Progressive myopia,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,251,397759
360.3,Hypotony of eye,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,27,397759
361,Retinal detachments and defects,360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,3263,397759
361.1,Retinal detachment with retinal defect,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,1392,397759
361.2,Retinoschisis and retinal cysts,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,68,397759
362,Other retinal disorders,"250.70-250.79,360-365.99",Both,1,0,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,3867,396857
362.1,Retinopathy of prematurity,"250.70-250.79,360-365.99",Both,1,1,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,3,396857
362.2,Degeneration of macula and posterior pole of retina,"250.70-250.79,360-365.99",Both,1,0,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,2191,396857
362.29,Macular degeneration (senile) of retina NOS,"250.70-250.79,360-365.99",Both,1,1,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,2188,396857
362.3,Other nondiabetic retinopathy,"250.70-250.79,360-365.99",Both,1,0,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,161,396857
362.31,Separation of retinal layers,"250.70-250.79,360-365.99",Both,1,1,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,99,396857
362.4,Retinal vascular changes and abnomalities,"250.70-250.79,360-365.99",Both,1,1,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,849,396857
362.6,Peripheral retinal degenerations,"250.70-250.79,360-365.99",Both,1,1,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,183,396857
362.7,Hereditary retinal dystrophies,"250.70-250.79,360-365.99",Both,1,1,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,83,396857
362.8,Retinal hemorrhage/ischemia,"250.70-250.79,360-365.99",Both,1,1,7,sense organs,darkseagreen4, diabetic retinopathy and degenerative disorders of the eye,116,396857
363,"Chorioretinal inflammations, scars, and other disorders of choroid",360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,171,397759
363.3,Chorioretinal scars,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,69,397759
363.4,Choroidal degenerations,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,28,397759
364,Corneal opacity and other disorders of cornea,360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,659,397759
364.1,Corneal opacity,360-365.99,Both,0,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,91,397759
364.2,Corneal edema,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,80,397759
364.4,Corneal degenerations,360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,208,397759
364.41,Keratoconus,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,87,397759
364.5,Corneal dystrophy,360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,212,397759
364.9,Cornea replaced by transplant,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,100,397759
365,Glaucoma,360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,4462,397759
365.1,Open-angle glaucoma,360-365.99,Both,1,0,7,sense organs,darkseagreen4, Degenerative disorders of the eye,1043,397759
365.11,Primary open angle glaucoma,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,1037,397759
365.2,Primary angle-closure glaucoma,360-365.99,Both,1,1,7,sense organs,darkseagreen4, Degenerative disorders of the eye,705,397759
366,Cataract,366-366.99,Both,1,0,7,sense organs,darkseagreen4,Cataract,20352,388607
366.1,Nonsenile Cataract,366-366.99,Both,1,1,7,sense organs,darkseagreen4,Cataract,70,388607
366.2,Senile cataract,366-366.99,Both,1,1,7,sense organs,darkseagreen4,Cataract,8369,388607
366.3,Traumatic cataract,366-366.99,Both,1,1,7,sense organs,darkseagreen4,Cataract,102,388607
367,Disorders of refraction and accommodation; blindness and low vision,367-367.99,Both,1,0,7,sense organs,darkseagreen4,Blindness and low vision,2431,406528
367.1,Myopia,367-367.99,Both,1,1,7,sense organs,darkseagreen4,Blindness and low vision,1257,406528
367.2,Astigmatism,367-367.99,Both,1,1,7,sense organs,darkseagreen4,Blindness and low vision,190,406528
367.4,Presbyopia,367-367.99,Both,1,0,7,sense organs,darkseagreen4,Blindness and low vision,12,406528
367.8,Hypermetropia,367-367.99,Both,1,1,7,sense organs,darkseagreen4,Blindness and low vision,253,406528
367.9,Blindness and low vision,367-367.99,Both,1,1,7,sense organs,darkseagreen4,Blindness and low vision,723,406528
368,Visual disturbances,368-368.99,Both,1,0,7,sense organs,darkseagreen4,Visual disturbances/defects,2998,405652
368.1,Amblyopia,368-368.99,Both,1,1,7,sense organs,darkseagreen4,Visual disturbances/defects,538,405652
368.2,Diplopia and disorders of binocular vision,368-368.99,Both,1,1,7,sense organs,darkseagreen4,Visual disturbances/defects,732,405652
368.3,Anisometropia,368-368.99,Both,1,1,7,sense organs,darkseagreen4,Visual disturbances/defects,155,405652
368.4,Visual field defects,368-368.99,Both,0,1,7,sense organs,darkseagreen4,Visual disturbances/defects,334,405652
368.5,Color vision deficiencies,368-368.99,Both,0,1,7,sense organs,darkseagreen4,Visual disturbances/defects,7,405652
368.7,Disorders of accommodation,368-368.99,Both,1,1,7,sense organs,darkseagreen4,Visual disturbances/defects,2,405652
368.9,Subjective visual disturbances,368-368.99,Both,1,0,7,sense organs,darkseagreen4,Visual disturbances/defects,615,405652
369,Infection of the eye,369-374.99,Both,1,0,7,sense organs,darkseagreen4, infection/inflammation of eye,560,399304
369.2,"Eye infection, viral",369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,126,399304
369.5,"Conjunctivitis, infectious",369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,213,399304
370,Keratitis,369-374.99,Both,1,0,7,sense organs,darkseagreen4, infection/inflammation of eye,297,399304
370.1,Corneal ulcer,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,141,399304
370.2,Superficial keratitis,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,1,399304
370.3,Keratoconjunctivitis,369-374.99,Both,1,0,7,sense organs,darkseagreen4, infection/inflammation of eye,31,399304
371,Inflammation of the eye,369-374.99,Both,1,0,7,sense organs,darkseagreen4, infection/inflammation of eye,3174,399304
371.1,"Uveitis, noninfectious or NOS",369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,486,399304
371.2,"Conjunctivitis, noninfectious",369-374.99,Both,1,0,7,sense organs,darkseagreen4, infection/inflammation of eye,29,399304
371.3,Inflammation of eyelids,369-374.99,Both,1,0,7,sense organs,darkseagreen4, infection/inflammation of eye,2396,399304
371.33,Noninfectious dermatoses of eyelid,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,49,399304
371.9,Chronic inflammatory disorders of orbit,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,11,399304
372,Disorders of conjunctiva,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,765,399304
374,Other disorders of eyelids,369-374.99,Both,1,0,7,sense organs,darkseagreen4, infection/inflammation of eye,5726,399304
374.1,Ectropion or entropion,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,1068,399304
374.2,Lagophthalmos,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,45,399304
374.3,Ptosis of eyelid,369-374.99,Both,1,1,7,sense organs,darkseagreen4, infection/inflammation of eye,1834,399304
375,Disorders of lacrimal system,375-379.99,Both,1,0,7,sense organs,darkseagreen4, other eye disorders,2218,401243
375.2,Epiphora,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,899,401243
376,Disorders of the orbit,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,86,401243
377,Disorders of optic nerve and visual pathways,375-379.99,Both,1,0,7,sense organs,darkseagreen4, other eye disorders,370,401243
377.1,Optic atrophy,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,58,401243
377.3,Optic neuritis/neuropathy,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,125,401243
378,Strabismus and other disorders of binocular eye movements,375-379.99,Both,1,0,7,sense organs,darkseagreen4, other eye disorders,1442,401243
378.1,Strabismus (not specified as paralytic),375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,918,401243
378.2,Nystagmus and other irregular eye movements,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,215,401243
378.5,Paralytic strabismus,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,277,401243
379,Other disorders of eye,375-379.99,Both,1,0,7,sense organs,darkseagreen4, other eye disorders,3762,401243
379.1,Scleritis and episcleritis,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,41,401243
379.2,Disorders of vitreous body,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,1372,401243
379.3,Aphakia and other disorders of lens,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,1825,401243
379.4,Anomalies of pupillary function,375-379.99,Both,1,1,7,sense organs,darkseagreen4, other eye disorders,71,401243
379.5,Disorders of iris and ciliary body,375-379.99,Both,1,0,7,sense organs,darkseagreen4, other eye disorders,405,401243
379.9,"Pain, swelling or discharge of eye",375-379.99,Both,0,1,7,sense organs,darkseagreen4, other eye disorders,170,401243
380,Disorders of external ear,380-380.99,Both,1,1,7,sense organs,darkseagreen4, disorders of external ear,644,407508
380.1,Otitis externa,380-380.99,Both,0,1,7,sense organs,darkseagreen4, disorders of external ear,524,407508
380.4,Impacted cerumen,380-380.99,Both,0,1,7,sense organs,darkseagreen4, disorders of external ear,363,407508
381,Otitis media and Eustachian tube disorders,381-385.99,Both,1,0,7,sense organs,darkseagreen4, otitis media and related conditions,2259,404886
